actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹14,499",27% off,"vivo T1 44W (Starry Sky, 128 GB)","₹,19,990",4.5,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","91,960 Ratings "
"₹14,499",27% off,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹,19,990",4.5,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","91,960 Ratings "
"₹15,999",23% off,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹,20,990",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","52,575 Ratings "
"₹15,999",23% off,"vivo T1 44W (Starry Sky, 128 GB)","₹,20,990",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","52,575 Ratings "
"₹17,999",24% off,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹,23,990",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","6,049 Ratings "
"₹17,999",24% off,"vivo T1 44W (Starry Sky, 128 GB)","₹,23,990",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year Handset and 6 Months Accessories","6,049 Ratings "
"₹23,999",17% off,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)","₹,28,990",4.4,"6 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor,1 Year Handset and 6 Months Accessories","8,169 Ratings "
"₹11,999",29% off,"vivo T1X (Space Blue, 64 GB)","₹,16,990",4.5,"4 GB RAM | 64 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","81,650 Ratings "
"₹11,999",29% off,"vivo T1X (Gravity Black, 64 GB)","₹,16,990",4.5,"4 GB RAM | 64 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","81,650 Ratings "
"₹12,999",27% off,"vivo T1X (Gravity Black, 128 GB)","₹,17,990",4.5,"4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","81,650 Ratings "
"₹14,999",21% off,"vivo T1X (Gravity Black, 128 GB)","₹,18,990",4.4,"6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","4,262 Ratings "
"₹12,999",27% off,"vivo T1X (Space Blue, 128 GB)","₹,17,990",4.5,"4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","81,650 Ratings "
"₹14,999",21% off,"vivo T1X (Space Blue, 128 GB)","₹,18,990",4.4,"6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories","4,262 Ratings "
"₹24,999",19% off,"vivo T1 Pro 5G (Turbo Black, 128 GB)","₹,30,990",4.4,"8 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor,1 Year Handset and 6 Months Accessories","16,954 Ratings "
"₹23,999",17% off,"vivo T1 Pro 5G (Turbo Black, 128 GB)","₹,28,990",4.4,"6 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor,1 Year Handset and 6 Months Accessories","8,169 Ratings "
"₹7,999",38% off,"vivo Y01 (Sapphire Blue, 32 GB)","₹,12,999",4.2,"2 GB RAM | 32 GB ROM,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year on Handset and 6 Months on Accessories","1,358 Ratings "
"₹18,499",19% off,"vivo Y35 (Agate Black, 128 GB)","₹,22,999",4.4,"8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year of Device & 6 Months for In-Box Accessories","1,853 Ratings "
"₹18,499",19% off,"vivo Y35 (Dawn Gold, 128 GB)","₹,22,999",4.4,"8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year of Device & 6 Months for In-Box Accessories","1,853 Ratings "
"₹15,990",20% off,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹,19,990",4.3,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Turbo Processor Snapdragon 695 Processor,1 Year Handset and 6 Months Accessories","64,752 Ratings "
"₹9,999",23% off,"vivo Y16 (Drizzling Gold, 32 GB)","₹,12,999",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year of Device & 6 Months for In-Box Accessories","1,581 Ratings "
"₹9,499",32% off,"vivo Y15s (Wave Green, 32 GB)","₹,13,990",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery Battery,Mediatek Helio P35 Processor,1 Year for Device & 6 Months for In-Box Accessories","3,859 Ratings "
"₹8,999",30% off,"vivo Y02 (Cosmic Grey, 32 GB)","₹,12,999",4.3,"3 GB RAM | 32 GB ROM,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek P22 Processor,1 Year of Device & 6 Months for In-Box Accessories",272 Ratings 
"₹7,999",38% off,"vivo Y01 (Elegant Black, 32 GB)","₹,12,999",4.2,"2 GB RAM | 32 GB ROM,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year on Handset and 6 Months on Accessories","1,358 Ratings "
"₹19,999",20% off,"vivo Y56 5G (Black Engine, 128 GB)","₹,24,999",4.5,"8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Dimensity 700 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Manufacturer Warranty for In-Box Accessories",111 Ratings 
"₹9,499",32% off,"vivo Y15s (Mystic Blue, 32 GB)","₹,13,990",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery Battery,Mediatek Helio P35 Processor,1 Year for Device & 6 Months for In-Box Accessories","3,859 Ratings "
"₹15,990",20% off,"vivo T1 5G (Starlight Black, 128 GB)","₹,19,990",4.3,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 Processor,1 Year Handset and 6 Months Accessories","64,752 Ratings "
"₹10,999",21% off,"vivo Y16 (Steller Black, 64 GB)","₹,13,999",4.3,"3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year of Device & 6 Months for In-Box Accessories","1,581 Ratings "
"₹10,928",21% off,"vivo Y16 (Drizzling Gold, 64 GB)","₹,13,999",4.3,"3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year of Device & 6 Months for In-Box Accessories","1,581 Ratings "
"₹12,499",21% off,"vivo Y16 (Steller Black, 64 GB)","₹,15,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year of Device & 6 Months for In-Box Accessories","1,242 Ratings "
"₹12,499",21% off,"vivo Y16 (Drizzling Gold, 64 GB)","₹,15,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year of Device & 6 Months for In-Box Accessories","1,242 Ratings "
"₹8,999",30% off,"vivo Y02 (Orchid Blue, 32 GB)","₹,12,999",4.3,"3 GB RAM | 32 GB ROM,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek P22 Processor,1 Year of Device & 6 Months for In-Box Accessories",272 Ratings 
"₹12,959",27% off,"vivo Y21 (Diamond Glow, 64 GB)","₹,17,990",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year Warranty for Handset and 6 Months for In-box Accessories","14,665 Ratings "
"₹24,999",19% off,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)","₹,30,990",4.4,"8 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor,1 Year Handset and 6 Months Accessories","16,954 Ratings "
"₹19,990",16% off,"vivo T1 5G (Starlight Black, 128 GB)","₹,23,990",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 Processor,1 Year Handset and 6 Months Accessories","16,603 Ratings "
"₹14,499",19% off,"vivo Y22 (Metaverse Green, 64 GB)","₹,17,990",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.64 cm (6.55 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio G70 Processor,1 Year of Device & 6 Months for In-Box Accessories",760 Ratings 
"₹39,999",11% off,"vivo V27 Pro 5G (Magic Blue, 256 GB)","₹,44,999",4.5,"8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,4600 mAh Battery,Mediatek Dimensity 8200 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",682 Ratings 
"₹42,999",6% off,"vivo V27 Pro 5G (Magic Blue, 256 GB)","₹,45,990",4.6,"12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,4600 mAh Battery,Mediatek Dimensity 8200 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",117 Ratings 
"₹42,999",6% off,"vivo V27 Pro 5G (Noble Black, 256 GB)","₹,45,990",4.6,"12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,4600 mAh Battery,Mediatek Dimensity 8200 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",117 Ratings 
"₹37,999",9% off,"vivo V27 Pro 5G (Magic Blue, 128 GB)","₹,41,990",4.5,"8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,4600 mAh Battery,Mediatek Dimensity 8200 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",682 Ratings 
"₹16,439",17% off,"vivo Y22 (Metaverse Green, 128 GB)","₹,19,990",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.64 cm (6.55 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio G70 Processor,1 Year of Device & 6 Months for In-Box Accessories",741 Ratings 
"₹24,999",16% off,"vivo Y100 5G (Pacific Blue, 128 GB)","₹,29,999",4.3,"8 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ AMOLED Display,64MP (OIS) + 2MP + 2MP | 16MP Front Camera,4500 mAh Battery,Mediatek Dimensity 900 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Manufacturer Warranty for In-Box Accessories",164 Ratings 
"₹24,999",16% off,"vivo Y100 5G (Twilight Gold, 128 GB)","₹,29,999",4.3,"8 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ AMOLED Display,64MP (OIS) + 2MP + 2MP | 16MP Front Camera,4500 mAh Battery,Mediatek Dimensity 900 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Manufacturer Warranty for In-Box Accessories",164 Ratings 
"₹19,990",16% off,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹,23,990",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 Processor,1 Year Handset and 6 Months Accessories","16,603 Ratings "
"₹18,990",13% off,"vivo Y33s (Mirror Black, 128 GB)","₹,21,990",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,MediaTek Helio G80 Processor,1 Year for Handset and 6 Months for In-box Accessories","12,233 Ratings "
"₹19,990",23% off,"vivo Y75 (Dancing waves, 128 GB)","₹,25,990",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 44MP Front Camera,4050 mAh Lithium Battery,Mediatek G96 Processor,1 Year on Handset and 6 Months on Accessories","2,020 Ratings "
"₹15,490",32% off,"vivo Y53s (Deep Sea Blue, 128 GB)","₹,22,990",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,64MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G80 Processor,1 Year Warranty for Handset and 6 Months for In-box Accessories","19,084 Ratings "
"₹16,650",27% off,"vivo Y33T (Starry Gold, 128 GB)","₹,22,990",4.4,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","2,612 Ratings "
"₹15,499",22% off,"vivo Y21T (Midnight Blue, 128 GB)","₹,19,990",4.4,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year for Device & 6 Months for In-box Accessories","1,583 Ratings "
"₹17,999",21% off,"vivo Y56 5G (Orange Shimmer, 128 GB)","₹,22,999",,"4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Dimensity 700 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Manufacturer Warranty for In-Box Accessories",
"₹17,999",21% off,"vivo Y56 5G (Black Engine, 128 GB)","₹,22,999",,"4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Dimensity 700 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Manufacturer Warranty for In-Box Accessories",
"₹16,499",17% off,"vivo Y22 (Starlit Blue, 128 GB)","₹,19,990",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.64 cm (6.55 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio G70 Processor,1 Year of Device & 6 Months for In-Box Accessories",741 Ratings 
"₹13,499",24% off,"vivo Y21G (Diamond Glow, 64 GB)","₹,17,990",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery,Mediatek MT6769 Helio G70 Processor,1 Year for Device & 6 Months for In-Box Accessories","2,172 Ratings "
"₹19,999",23% off,"vivo Y75 (Moonlight Shadow, 128 GB)","₹,25,990",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 44MP Front Camera,4050 mAh Lithium Battery,Mediatek G96 Processor,1 Year on Handset and 6 Months on Accessories","2,020 Ratings "
"₹24,999",16% off,"vivo Y100 5G (Metal Black, 128 GB)","₹,29,999",4.3,"8 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ AMOLED Display,64MP (OIS) + 2MP + 2MP | 16MP Front Camera,4500 mAh Battery,Mediatek Dimensity 900 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Manufacturer Warranty for In-Box Accessories",164 Ratings 
"₹12,989",27% off,"vivo Y21A (Diamond Glow, 64 GB)","₹,17,990",4.3,"4 GB RAM | 64 GB ROM,16.54 cm (6.51 inch) Display,13MP Rear Camera,5000 mAh Battery,1 Year for Handset and 6 Months for Inbox Accessories","1,876 Ratings "
"₹38,990",7% off,"vivo V23 Pro 5G (Sunshine Gold, 128 GB)","₹,41,990",4.3,"8 GB RAM | 128 GB ROM,16.66 cm (6.56 inch) Full HD+ Display,108MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera,4300 mAh Lithium Battery,Mediatek Dimensity 1200 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","3,791 Ratings "
"₹12,340",26% off,"vivo Y21E (Diamond Glow, 64 GB)","₹,16,900",4.2,"3 GB RAM | 64 GB ROM,16.54 cm (6.51 inch) Display,13MP Rear Camera,5000 mAh Battery,12 Months",290 Ratings 
"₹13,499",24% off,"vivo Y21 (Midnight Blue, 64 GB)","₹,17,990",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,1 Year Warranty for Handset and 6 Months for In-box Accessories","14,665 Ratings "
"₹27,990",15% off,"vivo V21 5G (Dusk Blue, 128 GB)","₹,32,990",4.3,"8 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ Display,64MP + 8MP + 2MP | 44MP Front Camera,4000 mAh Lithium-ion Battery,MediaTek Dimensity 800U Processor,AMOLED Display,1 Year for Handset and 6 Months for In-box Accessories","17,212 Ratings "
"₹24,999",13% off,"vivo V23e 5G (Sunshine Gold, 128 GB)","₹,28,990",4.2,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 44MP Front Camera,4050 mAh Lithium Battery,Mediatek Dimensity 810 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","2,201 Ratings "
"₹15,499",22% off,"vivo Y21T (Pearl White, 128 GB)","₹,19,990",4.4,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,1 Year for Device & 6 Months for In-box Accessories","1,583 Ratings "
